report_date,field_id,plan_type,prod_ton,prod_bbls,prod_m3,prod_ft3
01/01/2025,BH,KHQTGAS,,,12.927,456.512696702367
01/02/2025,BH,KHQTGAS,,,10.316,364.30610189383606
01/03/2025,BH,KHQTGAS,,,8.09,285.69565377289
01/04/2025,BH,KHQTGAS,,,8.004447574,282.674398361527
01/05/2025,BH,KHQTGAS,,,14.18482533,500.9323790245489
01/06/2025,BH,KHQTGAS,,,12.84359751,453.5673655643155
01/07/2025,BH,KHQTGAS,,,13.28352024,469.10309015725795
01/08/2025,BH,KHQTGAS,,,7.070953018,249.70834923051913
01/09/2025,BH,KHQTGAS,,,5.300532308,187.18653190091294
01/10/2025,BH,KHQTGAS,,,6.180377751,218.25798048644853
01/11/2025,BH,KHQTGAS,,,10.47230675,369.82602267632865
01/12/2025,BH,KHQTGAS,,,13.32643953,470.6187705795099
01/01/2025,TGT,KHQTGAS,,,5.047477905,178.2499999966863
01/02/2025,TGT,KHQTGAS,,,4.2,148.32160022820003
01/03/2025,TGT,KHQTGAS,,,5.98,211.18170699158003
01/04/2025,TGT,KHQTGAS,,,2.486291941,87.8025712675232
01/05/2025,TGT,KHQTGAS,,,2.36714057,83.59478031130799
01/06/2025,TGT,KHQTGAS,,,2.247989199,79.38698935509275
01/07/2025,TGT,KHQTGAS,,,2.232102349,78.82595054209622
01/08/2025,TGT,KHQTGAS,,,2.128837828,75.17919839887753
01/09/2025,TGT,KHQTGAS,,,1.390099328,49.09089447740607
01/10/2025,TGT,KHQTGAS,,,2.359197145,83.31426090480971
01/11/2025,TGT,KHQTGAS,,,2.120894403,74.89867899237926
01/12/2025,TGT,KHQTGAS,,,1.969969333,69.56881044548568
01/01/2025,RangDong,KHQTGAS,,,7.589764392,268.0299999943932
01/02/2025,RangDong,KHQTGAS,,,2.833298719,100.05699998252123
01/03/2025,RangDong,KHQTGAS,,,3.9,137.7272002119
01/04/2025,RangDong,KHQTGAS,,,1.766534781,62.384587042069725
01/05/2025,RangDong,KHQTGAS,,,5.686033827,200.8003895648372
01/06/2025,RangDong,KHQTGAS,,,0.165612636,5.848555045126287
01/07/2025,RangDong,KHQTGAS,,,0.0,0.0
01/08/2025,RangDong,KHQTGAS,,,15.87121092,560.4865240984958
01/09/2025,RangDong,KHQTGAS,,,15.15355617,535.1427857815032
01/10/2025,RangDong,KHQTGAS,,,15.89881303,561.4612834139422
01/11/2025,RangDong,KHQTGAS,,,15.34677091,541.966099930188
01/12/2025,RangDong,KHQTGAS,,,15.78840461,557.5622468584501
01/01/2025,CS,KHQTGAS,,,7.227359403,255.23178858983056
01/02/2025,CS,KHQTGAS,,,6.871082826,242.65000001257687
01/03/2025,CS,KHQTGAS,,,6.94,245.08378704374002
01/04/2025,CS,KHQTGAS,,,6.417437185,226.62965539122743
01/05/2025,CS,KHQTGAS,,,10.58877135,373.93893121012326
01/06/2025,CS,KHQTGAS,,,3.850462311,135.97779323473645
01/07/2025,CS,KHQTGAS,,,10.90964321,385.27041400617065
01/08/2025,CS,KHQTGAS,,,14.11836181,498.58524196664433
01/09/2025,CS,KHQTGAS,,,13.79748995,487.25375917059694
01/10/2025,CS,KHQTGAS,,,13.15574623,464.59079357850226
01/11/2025,CS,KHQTGAS,,,12.51400251,441.92782798640746
01/12/2025,CS,KHQTGAS,,,10.90964321,385.27041400617065
01/01/2025,STD-STV-STT-STN,KHQTGAS,,,20.21822847,714.0000001070838
01/02/2025,STD-STV-STT-STN,KHQTGAS,,,14.24,502.88085410704
01/03/2025,STD-STV-STT-STN,KHQTGAS,,,35.34,1248.02032192014
01/04/2025,STD-STV-STT-STN,KHQTGAS,,,40.48747922,1429.801835027713
01/05/2025,STD-STV-STT-STN,KHQTGAS,,,41.88821293,1479.268279161233
01/06/2025,STD-STV-STT-STN,KHQTGAS,,,40.48747922,1429.801835027713
01/07/2025,STD-STV-STT-STN,KHQTGAS,,,41.88821293,1479.268279161233
01/08/2025,STD-STV-STT-STN,KHQTGAS,,,41.88821293,1479.268279161233
01/09/2025,STD-STV-STT-STN,KHQTGAS,,,40.48747922,1429.801835027713
01/10/2025,STD-STV-STT-STN,KHQTGAS,,,41.88821293,1479.268279161233
01/11/2025,STD-STV-STT-STN,KHQTGAS,,,40.48747922,1429.801835027713
01/12/2025,STD-STV-STT-STN,KHQTGAS,,,41.88821293,1479.268279161233
01/01/2025,CNV,KHQTGAS,,,5.014630363,177.08999999835225
01/02/2025,CNV,KHQTGAS,,,2.94,103.82512015974001
01/03/2025,CNV,KHQTGAS,,,5.28,186.46144028688002
01/04/2025,CNV,KHQTGAS,,,2.407792448,85.03038783446073
01/05/2025,CNV,KHQTGAS,,,2.229437452,78.73184059269543
01/06/2025,CNV,KHQTGAS,,,1.070129977,37.79128348590639
01/07/2025,CNV,KHQTGAS,,,1.783549961,62.98547245296756
01/08/2025,CNV,KHQTGAS,,,2.140259954,75.58256697181278
01/09/2025,CNV,KHQTGAS,,,1.872727459,66.1347460738502
01/10/2025,CNV,KHQTGAS,,,1.605194965,56.68692521120226
01/11/2025,CNV,KHQTGAS,,,1.872727459,66.1347460738502
01/12/2025,CNV,KHQTGAS,,,1.783549961,62.98547245296756
01/01/2025,LTLD,KHQTGAS,,,11.60079,409.6780325503096
01/02/2025,LTLD,KHQTGAS,,,10.8,381.39840058680005
01/03/2025,LTLD,KHQTGAS,,,8.41,296.99634712361
01/04/2025,LTLD,KHQTGAS,,,0.0,0.0
01/05/2025,LTLD,KHQTGAS,,,0.0,0.0
01/06/2025,LTLD,KHQTGAS,,,0.0,0.0
01/07/2025,LTLD,KHQTGAS,,,0.0,0.0
01/08/2025,LTLD,KHQTGAS,,,0.0,0.0
01/09/2025,LTLD,KHQTGAS,,,0.0,0.0
01/10/2025,LTLD,KHQTGAS,,,0.0,0.0
01/11/2025,LTLD,KHQTGAS,,,0.0,0.0
01/12/2025,LTLD,KHQTGAS,,,0.0,0.0
01/01/2025,RD-RDT,KHQTGAS,,,30.32647,1070.9691808744049
01/02/2025,RD-RDT,KHQTGAS,,,27.8,981.7477348438001
01/03/2025,RD-RDT,KHQTGAS,,,26.94,951.3771214637401
01/04/2025,RD-RDT,KHQTGAS,,,22.76403458,803.9042944180193
01/05/2025,RD-RDT,KHQTGAS,,,23.63215454,834.5616614792671
01/06/2025,RD-RDT,KHQTGAS,,,22.18528794,783.4660497105207
01/07/2025,RD-RDT,KHQTGAS,,,23.0534079,814.1234167717686
01/08/2025,RD-RDT,KHQTGAS,,,7.330790797,258.884433797429
01/09/2025,RD-RDT,KHQTGAS,,,11.96076393,422.39039191650824
01/10/2025,RD-RDT,KHQTGAS,,,22.66757681,800.4979204178184
01/11/2025,RD-RDT,KHQTGAS,,,23.24632345,820.9361651253168
01/12/2025,RD-RDT,KHQTGAS,,,24.69319005,872.0317768940633
01/01/2025,PM3CA-46CN,KHQTGAS,,,144.2,5092.3749411682
01/02/2025,PM3CA-46CN,KHQTGAS,,,152.6058415,5389.224432250251
01/03/2025,PM3CA-46CN,KHQTGAS,,,173.03,6110.49678273463
01/04/2025,PM3CA-46CN,KHQTGAS,,,172.6145175,6095.824156718722
01/05/2025,PM3CA-46CN,KHQTGAS,,,162.6520582,5744.003226817696
01/06/2025,PM3CA-46CN,KHQTGAS,,,172.0254586,6075.021737986184
01/07/2025,PM3CA-46CN,KHQTGAS,,,168.7985201,5961.06348032952
01/08/2025,PM3CA-46CN,KHQTGAS,,,87.33166907,3084.0887873957145
01/09/2025,PM3CA-46CN,KHQTGAS,,,172.0254586,6075.021737986184
01/10/2025,PM3CA-46CN,KHQTGAS,,,173.4852203,6126.5727359137645
01/11/2025,PM3CA-46CN,KHQTGAS,,,174.6633381,6168.177573378842
01/12/2025,PM3CA-46CN,KHQTGAS,,,181.9879179,6426.842667887211
01/01/2025,HST-HSD,KHQTGAS,,,1.038945101,36.689999983230685
01/02/2025,HST-HSD,KHQTGAS,,,0.719247903,25.399999984223136
01/03/2025,HST-HSD,KHQTGAS,,,0.7,24.7202667047
01/04/2025,HST-HSD,KHQTGAS,,,5.243873163,185.18563307854112
01/05/2025,HST-HSD,KHQTGAS,,,5.035782958,177.83699684106156
01/06/2025,HST-HSD,KHQTGAS,,,4.744456671,167.54890610859016
01/07/2025,HST-HSD,KHQTGAS,,,4.411512344,155.79108816393753
01/08/2025,HST-HSD,KHQTGAS,,,4.120186057,145.5029974314661
01/09/2025,HST-HSD,KHQTGAS,,,2.746790705,97.00199829941563
01/10/2025,HST-HSD,KHQTGAS,,,3.41267936,120.51763422403558
01/11/2025,HST-HSD,KHQTGAS,,,2.99649895,105.82036174907644
01/12/2025,HST-HSD,KHQTGAS,,,2.830026786,99.9414527590928
01/01/2025,HT-MT,KHQTGAS,,,68.59424,2422.3827245802872
01/02/2025,HT-MT,KHQTGAS,,,70.49,2489.33085716329
01/03/2025,HT-MT,KHQTGAS,,,90.69,3202.68712492749
01/04/2025,HT-MT,KHQTGAS,,,95.95574111,3388.645017266209
01/05/2025,HT-MT,KHQTGAS,,,89.86689267,3173.619363892928
01/06/2025,HT-MT,KHQTGAS,,,81.86118454,2890.900449416378
01/07/2025,HT-MT,KHQTGAS,,,107.4568993,3794.8045856515587
01/08/2025,HT-MT,KHQTGAS,,,99.78946049,3524.031539472747
01/09/2025,HT-MT,KHQTGAS,,,88.51381524,3125.8358854047706
01/10/2025,HT-MT,KHQTGAS,,,92.79856043,3277.1502337740285
01/11/2025,HT-MT,KHQTGAS,,,87.04798136,3074.0704504642204
01/12/2025,HT-MT,KHQTGAS,,,86.9352249,3070.0884936586804
01/01/2025,TB,KHQTGAS,,,8.941156298,315.7539547642401
01/02/2025,TB,KHQTGAS,,,8.6,303.7061338006
01/03/2025,TB,KHQTGAS,,,11.31,399.40888061451005
01/04/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/05/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/06/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/07/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/08/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/09/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/10/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/11/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/12/2025,TB,KHQTGAS,,,15.68320486,553.8471527480675
01/01/2025,DH,KHQTGAS,,,7.001313,247.24903520440466
01/02/2025,DH,KHQTGAS,,,9.325,329.309267173325
01/03/2025,DH,KHQTGAS,,,8.99,317.47885382179004
01/04/2025,DH,KHQTGAS,,,4.526357241,159.8467974261001
01/05/2025,DH,KHQTGAS,,,4.819026243,170.18230569129776
01/06/2025,DH,KHQTGAS,,,9.292323908,328.1553218746003
01/07/2025,DH,KHQTGAS,,,9.914717827,350.1349556932624
01/08/2025,DH,KHQTGAS,,,8.329230558,294.1440011981389
01/09/2025,DH,KHQTGAS,,,10.36219674,365.9375243705327
01/10/2025,DH,KHQTGAS,,,10.098174,356.6136493006675
01/11/2025,DH,KHQTGAS,,,0.0,0.0
01/12/2025,DH,KHQTGAS,,,10.34166049,365.2122935460836
01/01/2025,ThienUng,KHQTGAS,,,11.70382,413.31650266257424
01/02/2025,ThienUng,KHQTGAS,,,13.901,490.90918208862104
01/03/2025,ThienUng,KHQTGAS,,,14.45,510.29693411845
01/04/2025,ThienUng,KHQTGAS,,,13.02692267,460.04143249128947
01/05/2025,ThienUng,KHQTGAS,,,10.98792607,388.03494711703735
01/06/2025,ThienUng,KHQTGAS,,,15.06591926,532.047917512395
01/07/2025,ThienUng,KHQTGAS,,,17.21819344,608.0547628713085
01/08/2025,ThienUng,KHQTGAS,,,15.6323072,552.0497188482888
01/09/2025,ThienUng,KHQTGAS,,,8.382541541,296.02666079535277
01/10/2025,ThienUng,KHQTGAS,,,16.19869514,572.0515201841826
01/11/2025,ThienUng,KHQTGAS,,,7.476320834,264.0237785519788
01/12/2025,ThienUng,KHQTGAS,,,20.95635385,740.0666519000953
01/01/2025,CT,KHQTGAS,,,0.593,20.941597365553
01/02/2025,CT,KHQTGAS,,,0.364,12.854538686444
01/03/2025,CT,KHQTGAS,,,0.44,15.538453357240002
01/04/2025,CT,KHQTGAS,,,1.734361702,61.24840547979632
01/05/2025,CT,KHQTGAS,,,1.734361702,61.24840547979632
01/06/2025,CT,KHQTGAS,,,1.618737589,57.16517846429008
01/07/2025,CT,KHQTGAS,,,1.849985816,65.33163253061723
01/08/2025,CT,KHQTGAS,,,1.965609929,69.41485954612348
01/09/2025,CT,KHQTGAS,,,1.849985816,65.33163253061723
01/10/2025,CT,KHQTGAS,,,1.849985816,65.33163253061723
01/11/2025,CT,KHQTGAS,,,1.849985816,65.33163253061723
01/12/2025,CT,KHQTGAS,,,1.849985816,65.33163253061723
01/01/2025,SVDN,KHQTGAS,,,116.059834,4098.614357404585
01/02/2025,SVDN,KHQTGAS,,,103.0125,3637.8521055970127
01/03/2025,SVDN,KHQTGAS,,,144.39,5099.08472784519
01/04/2025,SVDN,KHQTGAS,,,155.150954,5479.1042319552025
01/05/2025,SVDN,KHQTGAS,,,159.8524981,5645.137694920786
01/06/2025,SVDN,KHQTGAS,,,155.150954,5479.1042319552025
01/07/2025,SVDN,KHQTGAS,,,159.8524981,5645.137694920786
01/08/2025,SVDN,KHQTGAS,,,159.8524981,5645.137694920786
01/09/2025,SVDN,KHQTGAS,,,82.27702107,2905.585577883745
01/10/2025,SVDN,KHQTGAS,,,159.8524981,5645.137694920786
01/11/2025,SVDN,KHQTGAS,,,156.32634,5520.612596813731
01/12/2025,SVDN,KHQTGAS,,,161.0278841,5686.646059779315
01/01/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/02/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/03/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/04/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/05/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/06/2025,KNT-N,KHQTGAS,,,0.0,0.0
01/07/2025,KNT-N,KHQTGAS,,,0.223545424,7.894432145564635
01/08/2025,KNT-N,KHQTGAS,,,1.680163321,59.33440771796354
01/09/2025,KNT-N,KHQTGAS,,,2.407961892,85.03637169284859
01/10/2025,KNT-N,KHQTGAS,,,2.829533855,99.92404506511136
01/11/2025,KNT-N,KHQTGAS,,,3.332766247,117.69552927180297
01/12/2025,KNT-N,KHQTGAS,,,4.526029262,159.8352149570236
01/01/2025,BHR,KHQTOIL,0.234757,,,
01/02/2025,BHR,KHQTOIL,0.219217,,,
01/03/2025,BHR,KHQTOIL,0.24212,,,
01/04/2025,BHR,KHQTOIL,0.254629079,,,
01/05/2025,BHR,KHQTOIL,0.259795791,,,
01/06/2025,BHR,KHQTOIL,0.254853718,,,
01/07/2025,BHR,KHQTOIL,0.241480909,,,
01/08/2025,BHR,KHQTOIL,0.237291676,,,
01/09/2025,BHR,KHQTOIL,0.208922331,,,
01/10/2025,BHR,KHQTOIL,0.236583155,,,
01/11/2025,BHR,KHQTOIL,0.223879139,,,
01/12/2025,BHR,KHQTOIL,0.236470201,,,
01/01/2025,DM,KHQTOIL,0.003224,,,
01/02/2025,DM,KHQTOIL,0.00314,,,
01/03/2025,DM,KHQTOIL,0.00343,,,
01/04/2025,DM,KHQTOIL,0.003616579,,,
01/05/2025,DM,KHQTOIL,0.003416775,,,
01/06/2025,DM,KHQTOIL,0.003557277,,,
01/07/2025,DM,KHQTOIL,0.003685839,,,
01/08/2025,DM,KHQTOIL,0.003415577,,,
01/09/2025,DM,KHQTOIL,0.003655106,,,
01/10/2025,DM,KHQTOIL,0.003746916,,,
01/11/2025,DM,KHQTOIL,0.003597836,,,
01/12/2025,DM,KHQTOIL,0.003538096,,,
01/01/2025,DC,KHQTOIL,0.003868393,,,
01/02/2025,DC,KHQTOIL,0.00369,,,
01/03/2025,DC,KHQTOIL,0.00473,,,
01/04/2025,DC,KHQTOIL,0.003624346,,,
01/05/2025,DC,KHQTOIL,0.003633712,,,
01/06/2025,DC,KHQTOIL,0.003933399,,,
01/07/2025,DC,KHQTOIL,0.003608782,,,
01/08/2025,DC,KHQTOIL,0.004418312,,,
01/09/2025,DC,KHQTOIL,0.002688174,,,
01/10/2025,DC,KHQTOIL,0.003559259,,,
01/11/2025,DC,KHQTOIL,0.003891366,,,
01/12/2025,DC,KHQTOIL,0.003354258,,,
01/01/2025,DH,KHQTOIL,0.027554405,,,
01/02/2025,DH,KHQTOIL,0.03056,,,
01/03/2025,DH,KHQTOIL,0.03015,,,
01/04/2025,DH,KHQTOIL,0.018896787,,,
01/05/2025,DH,KHQTOIL,0.015047442,,,
01/06/2025,DH,KHQTOIL,0.053540897,,,
01/07/2025,DH,KHQTOIL,0.044496021,,,
01/08/2025,DH,KHQTOIL,0.047149453,,,
01/09/2025,DH,KHQTOIL,0.044241582,,,
01/10/2025,DH,KHQTOIL,0.045023184,,,
01/11/2025,DH,KHQTOIL,0.049026792,,,
01/12/2025,DH,KHQTOIL,0.041424666,,,
01/01/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/02/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/03/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/04/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/05/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/06/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/07/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/08/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/09/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/10/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/11/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/12/2025,PM3CA-46CN,KHQTOIL,0.0,,,
01/01/2025,PM3CA,KHQTOIL,0.036624,,,
01/02/2025,PM3CA,KHQTOIL,0.03306,,,
01/03/2025,PM3CA,KHQTOIL,0.03727,,,
01/04/2025,PM3CA,KHQTOIL,0.03434272,,,
01/05/2025,PM3CA,KHQTOIL,0.03863556,,,
01/06/2025,PM3CA,KHQTOIL,0.037204613,,,
01/07/2025,PM3CA,KHQTOIL,0.042697623,,,
01/08/2025,PM3CA,KHQTOIL,0.020612646,,,
01/09/2025,PM3CA,KHQTOIL,0.033863632,,,
01/10/2025,PM3CA,KHQTOIL,0.042697623,,,
01/11/2025,PM3CA,KHQTOIL,0.039752959,,,
01/12/2025,PM3CA,KHQTOIL,0.041225291,,,
01/01/2025,46CN,KHQTOIL,0.001568267,,,
01/02/2025,46CN,KHQTOIL,0.00115,,,
01/03/2025,46CN,KHQTOIL,0.00146,,,
01/04/2025,46CN,KHQTOIL,0.001430947,,,
01/05/2025,46CN,KHQTOIL,0.001430947,,,
01/06/2025,46CN,KHQTOIL,0.001430947,,,
01/07/2025,46CN,KHQTOIL,0.001729779,,,
01/08/2025,46CN,KHQTOIL,0.001729779,,,
01/09/2025,46CN,KHQTOIL,0.0,,,
01/10/2025,46CN,KHQTOIL,0.001729779,,,
01/11/2025,46CN,KHQTOIL,0.001729779,,,
01/12/2025,46CN,KHQTOIL,0.001729779,,,
01/01/2025,RDPD,KHQTOIL,0.036366039,,,
01/02/2025,RDPD,KHQTOIL,0.03333,,,
01/03/2025,RDPD,KHQTOIL,0.0359,,,
01/04/2025,RDPD,KHQTOIL,0.037146524,,,
01/05/2025,RDPD,KHQTOIL,0.038707689,,,
01/06/2025,RDPD,KHQTOIL,0.037430372,,,
01/07/2025,RDPD,KHQTOIL,0.031408636,,,
01/08/2025,RDPD,KHQTOIL,0.034696566,,,
01/09/2025,RDPD,KHQTOIL,0.033052601,,,
01/10/2025,RDPD,KHQTOIL,0.035639511,,,
01/11/2025,RDPD,KHQTOIL,0.033813339,,,
01/12/2025,RDPD,KHQTOIL,0.034672311,,,
01/01/2025,RPT,KHQTOIL,0.032036962,,,
01/02/2025,RPT,KHQTOIL,0.02879,,,
01/03/2025,RPT,KHQTOIL,0.03222,,,
01/04/2025,RPT,KHQTOIL,0.03222622,,,
01/05/2025,RPT,KHQTOIL,0.032831983,,,
01/06/2025,RPT,KHQTOIL,0.032609033,,,
01/07/2025,RPT,KHQTOIL,0.025785597,,,
01/08/2025,RPT,KHQTOIL,0.021076894,,,
01/09/2025,RPT,KHQTOIL,0.022539656,,,
01/10/2025,RPT,KHQTOIL,0.024251426,,,
01/11/2025,RPT,KHQTOIL,0.023053055,,,
01/12/2025,RPT,KHQTOIL,0.023579174,,,
01/01/2025,STD-STV-STT-STN,KHQTOIL,0.099605796,,,
01/02/2025,STD-STV-STT-STN,KHQTOIL,0.09863,,,
01/03/2025,STD-STV-STT-STN,KHQTOIL,0.11341,,,
01/04/2025,STD-STV-STT-STN,KHQTOIL,0.109181637,,,
01/05/2025,STD-STV-STT-STN,KHQTOIL,0.114853412,,,
01/06/2025,STD-STV-STT-STN,KHQTOIL,0.109181637,,,
01/07/2025,STD-STV-STT-STN,KHQTOIL,0.111221634,,,
01/08/2025,STD-STV-STT-STN,KHQTOIL,0.109777197,,,
01/09/2025,STD-STV-STT-STN,KHQTOIL,0.105443887,,,
01/10/2025,STD-STV-STT-STN,KHQTOIL,0.111221634,,,
01/11/2025,STD-STV-STT-STN,KHQTOIL,0.106888324,,,
01/12/2025,STD-STV-STT-STN,KHQTOIL,0.109777197,,,
01/01/2025,CNV,KHQTOIL,0.011677692,,,
01/02/2025,CNV,KHQTOIL,0.01002,,,
01/03/2025,CNV,KHQTOIL,0.0108,,,
01/04/2025,CNV,KHQTOIL,0.011985433,,,
01/05/2025,CNV,KHQTOIL,0.011733518,,,
01/06/2025,CNV,KHQTOIL,0.007656786,,,
01/07/2025,CNV,KHQTOIL,0.010237013,,,
01/08/2025,CNV,KHQTOIL,0.012316234,,,
01/09/2025,CNV,KHQTOIL,0.010846596,,,
01/10/2025,CNV,KHQTOIL,0.011034917,,,
01/11/2025,CNV,KHQTOIL,0.011331031,,,
01/12/2025,CNV,KHQTOIL,0.011414966,,,
01/01/2025,TGT,KHQTOIL,0.043831338,,,
01/02/2025,TGT,KHQTOIL,0.03822,,,
01/03/2025,TGT,KHQTOIL,0.04146,,,
01/04/2025,TGT,KHQTOIL,0.042711174,,,
01/05/2025,TGT,KHQTOIL,0.042625297,,,
01/06/2025,TGT,KHQTOIL,0.041096882,,,
01/07/2025,TGT,KHQTOIL,0.03683417,,,
01/08/2025,TGT,KHQTOIL,0.035948417,,,
01/09/2025,TGT,KHQTOIL,0.024985647,,,
01/10/2025,TGT,KHQTOIL,0.038953634,,,
01/11/2025,TGT,KHQTOIL,0.036546606,,,
01/12/2025,TGT,KHQTOIL,0.03630818,,,
01/01/2025,KNT-N,KHQTOIL,0.0,,,
01/02/2025,KNT-N,KHQTOIL,0.0,,,
01/03/2025,KNT-N,KHQTOIL,0.0,,,
01/04/2025,KNT-N,KHQTOIL,0.0,,,
01/05/2025,KNT-N,KHQTOIL,0.0,,,
01/06/2025,KNT-N,KHQTOIL,0.0,,,
01/07/2025,KNT-N,KHQTOIL,0.01082942,,,
01/08/2025,KNT-N,KHQTOIL,0.02525045,,,
01/09/2025,KNT-N,KHQTOIL,0.02780794,,,
01/10/2025,KNT-N,KHQTOIL,0.03028406,,,
01/11/2025,KNT-N,KHQTOIL,0.03263452,,,
01/12/2025,KNT-N,KHQTOIL,0.03922343,,,
01/01/2025,CS,KHQTOIL,0.035092549,,,
01/02/2025,CS,KHQTOIL,0.0301,,,
01/03/2025,CS,KHQTOIL,0.03206,,,
01/04/2025,CS,KHQTOIL,0.023304801,,,
01/05/2025,CS,KHQTOIL,0.033292573,,,
01/06/2025,CS,KHQTOIL,0.014981658,,,
01/07/2025,CS,KHQTOIL,0.026333476,,,
01/08/2025,CS,KHQTOIL,0.025647841,,,
01/09/2025,CS,KHQTOIL,0.025635144,,,
01/10/2025,CS,KHQTOIL,0.024338531,,,
01/11/2025,CS,KHQTOIL,0.02207238,,,
01/12/2025,CS,KHQTOIL,0.023899217,,,
01/01/2025,LTLD,KHQTOIL,0.000312065,,,
01/02/2025,LTLD,KHQTOIL,0.00029,,,
01/03/2025,LTLD,KHQTOIL,0.0005,,,
01/04/2025,LTLD,KHQTOIL,0.0,,,
01/05/2025,LTLD,KHQTOIL,0.0,,,
01/06/2025,LTLD,KHQTOIL,0.0,,,
01/07/2025,LTLD,KHQTOIL,0.0,,,
01/08/2025,LTLD,KHQTOIL,0.0,,,
01/09/2025,LTLD,KHQTOIL,0.0,,,
01/10/2025,LTLD,KHQTOIL,0.0,,,
01/11/2025,LTLD,KHQTOIL,0.0,,,
01/12/2025,LTLD,KHQTOIL,0.0,,,
01/01/2025,RD-RDT,KHQTOIL,0.002767766,,,
01/02/2025,RD-RDT,KHQTOIL,0.00268,,,
01/03/2025,RD-RDT,KHQTOIL,0.00335,,,
01/04/2025,RD-RDT,KHQTOIL,0.002504063,,,
01/05/2025,RD-RDT,KHQTOIL,0.002595835,,,
01/06/2025,RD-RDT,KHQTOIL,0.002438512,,,
01/07/2025,RD-RDT,KHQTOIL,0.002297064,,,
01/08/2025,RD-RDT,KHQTOIL,0.000737917,,,
01/09/2025,RD-RDT,KHQTOIL,0.00120209,,,
01/10/2025,RD-RDT,KHQTOIL,0.002261358,,,
01/11/2025,RD-RDT,KHQTOIL,0.002320867,,,
01/12/2025,RD-RDT,KHQTOIL,0.00246369,,,
01/01/2025,HST-HSD,KHQTOIL,0.015792084,,,
01/02/2025,HST-HSD,KHQTOIL,0.01414,,,
01/03/2025,HST-HSD,KHQTOIL,0.01475,,,
01/04/2025,HST-HSD,KHQTOIL,0.017036444,,,
01/05/2025,HST-HSD,KHQTOIL,0.01662757,,,
01/06/2025,HST-HSD,KHQTOIL,0.015537238,,,
01/07/2025,HST-HSD,KHQTOIL,0.015908743,,,
01/08/2025,HST-HSD,KHQTOIL,0.015622099,,,
01/09/2025,HST-HSD,KHQTOIL,0.010749151,,,
01/10/2025,HST-HSD,KHQTOIL,0.013902235,,,
01/11/2025,HST-HSD,KHQTOIL,0.012755659,,,
01/12/2025,HST-HSD,KHQTOIL,0.012469015,,,
01/01/2025,TLDD,KHQTOIL,0.013973595,,,
01/02/2025,TLDD,KHQTOIL,0.0125,,,
01/03/2025,TLDD,KHQTOIL,0.01358,,,
01/04/2025,TLDD,KHQTOIL,0.01454574,,,
01/05/2025,TLDD,KHQTOIL,0.01454574,,,
01/06/2025,TLDD,KHQTOIL,0.012999756,,,
01/07/2025,TLDD,KHQTOIL,0.012254512,,,
01/08/2025,TLDD,KHQTOIL,0.012254512,,,
01/09/2025,TLDD,KHQTOIL,0.010828121,,,
01/10/2025,TLDD,KHQTOIL,0.012166495,,,
01/11/2025,TLDD,KHQTOIL,0.010740104,,,
01/12/2025,TLDD,KHQTOIL,0.010811423,,,
01/01/2025,HT-MT,KHQTOIL,0.014738768,,,
01/02/2025,HT-MT,KHQTOIL,0.01409,,,
01/03/2025,HT-MT,KHQTOIL,0.01686,,,
01/04/2025,HT-MT,KHQTOIL,0.015180541,,,
01/05/2025,HT-MT,KHQTOIL,0.014096216,,,
01/06/2025,HT-MT,KHQTOIL,0.013011892,,,
01/07/2025,HT-MT,KHQTOIL,0.023697085,,,
01/08/2025,HT-MT,KHQTOIL,0.021542804,,,
01/09/2025,HT-MT,KHQTOIL,0.017234244,,,
01/10/2025,HT-MT,KHQTOIL,0.017234244,,,
01/11/2025,HT-MT,KHQTOIL,0.016157103,,,
01/12/2025,HT-MT,KHQTOIL,0.016157103,,,
01/01/2025,ThienUng,KHQTOIL,0.000986803,,,
01/02/2025,ThienUng,KHQTOIL,0.00117,,,
01/03/2025,ThienUng,KHQTOIL,0.00115,,,
01/04/2025,ThienUng,KHQTOIL,0.000598017,,,
